feature,importance
lbp_9,0.044076171488770646
minor_axis_median,0.042993232065157656
lbp_1,0.03044481018956875
lbp_7,0.02548928375135608
circularity_median,0.025298760028622757
lbp_5,0.020833482587365657
perimeter_median,0.020565469062265213
solidity_mean,0.020443043341374197
glcm_contrast_mean,0.01929577148839206
aspect_ratio_mean,0.01928125029267909
lbp_3,0.018259809324873092
gabor_f0.2_a0_std,0.017709865424746372
nucleus_solidity_std,0.01764808443094067
nucleus_solidity_mean,0.017522446767696223
major_axis_median,0.01738885179125672
lbp_2,0.016282344984885688
lbp_4,0.016254049780063645
eccentricity_std,0.01618112920685863
major_axis_mean,0.014890081263820071
lbp_6,0.014223618781502379
major_axis_max,0.014203894564175052
perimeter_max,0.012800883949911293
gabor_f0.2_a90_std,0.012307004693806231
area_max,0.011861821854878427
eccentricity_mean,0.011557284987587341
glcm_contrast_std,0.011369966048006027
minor_axis_mean,0.01119398353449111
nucleus_minor_axis_mean,0.011158949183346
perimeter_std,0.010959863703451912
gabor_f0.2_a0_mean,0.010925531029021834
gabor_f0.2_a45_std,0.01060621963670885
solidity_median,0.010414097060721302
nucleus_perimeter_std,0.010308045701331656
nucleus_area_mean,0.009975524711109955
aspect_ratio_std,0.009914078784662597
nucleus_perimeter_mean,0.00982039027703704
intensity_kurtosis,0.009507591802987407
gabor_f0.2_a90_mean,0.009412425953958279
nucleus_minor_axis_std,0.00916775334043455
nucleus_major_axis_std,0.008895538537870321
glcm_dissimilarity_std,0.008777504773189426
glcm_correlation_std,0.008575102005786546
minor_axis_max,0.008423425712728335
gabor_f0.2_a45_mean,0.007943173118716125
nn_mean,0.007798296156703718
glcm_homogeneity_mean,0.007591130543792148
area_mean,0.007412337192134558
area_std,0.007190769928018204
circularity_std,0.007151493441269832
nucleus_circularity_count,0.007106593368519921
eccentricity_median,0.007077164791531146
cell_density,0.007020715764108673
lbp_0,0.006748913431334913
area_median,0.006446032208711253
glcm_homogeneity_std,0.006436331925301352
glcm_energy_std,0.006292061894297809
nucleus_major_axis_mean,0.006280441984353101
gabor_f0.1_a45_std,0.006247734408455372
perimeter_mean,0.006246390810000843
gabor_f0.1_a0_std,0.006231839354432624
nucleus_minor_axis_count,0.006171207571032462
nucleus_perimeter_count,0.0061555362419036894
area_count,0.006141216228084568
solidity_std,0.006132324369794594
nucleus_area_std,0.005993948507858829
lbp_8,0.00583706250412942
major_axis_count,0.00569727148086657
cell_count,0.005669233761864676
nucleus_area_count,0.005667446896101902
nc_ratio_std,0.005612224546410078
intensity_std,0.005588618306145872
intensity_mean,0.0055656216510330285
nc_ratio_mean,0.005547371981448077
minor_axis_count,0.005534651759097885
nc_ratio_max,0.005452513433049916
nc_ratio_count,0.005252134065168683
glcm_dissimilarity_mean,0.005156883151095662
gabor_f0.1_a90_mean,0.005022344400979423
gabor_f0.1_a45_mean,0.004922010996093264
nucleus_major_axis_count,0.004887658094248681
glcm_ASM_std,0.004848286601133819
nucleus_circularity_mean,0.004830865462585997
major_axis_std,0.004802289718254913
glcm_ASM_mean,0.004739568351561082
nn_std,0.00472338810894741
eccentricity_count,0.004693148909946498
glcm_correlation_mean,0.004416173298858323
gabor_f0.1_a90_std,0.004367331522897286
solidity_count,0.004296703017436224
intensity_skew,0.00404240731338503
aspect_ratio_median,0.004007948431622105
nucleus_major_axis_max,0.003957965824137028
perimeter_count,0.003915317645176245
glcm_energy_mean,0.003821723058177292
aspect_ratio_count,0.0036570312913723328
circularity_count,0.003563510501614159
nucleus_minor_axis_max,0.0034041769134203377
aspect_ratio_max,0.002959441004173329
nucleus_area_max,0.002842616477346984
gabor_f0.1_a0_mean,0.0027543216995969603
circularity_mean,0.002405990686996785
minor_axis_std,0.0023417330271361344
solidity_min,0.0021048391221345237
nucleus_perimeter_max,0.002092550313179772
nucleus_circularity_std,0.0020099149724400783
nucleus_solidity_count,0.0016262950642299664
nucleus_circularity_max,0.0003273234947534408
perimeter_min,0.0
major_axis_min,0.0
nucleus_perimeter_median,0.0
nucleus_major_axis_median,0.0
nucleus_major_axis_min,0.0
nucleus_minor_axis_median,0.0
nucleus_minor_axis_min,0.0
nucleus_circularity_median,0.0
nucleus_circularity_min,0.0
nucleus_area_median,0.0
nucleus_area_min,0.0
area_min,0.0
nucleus_solidity_median,0.0
nucleus_solidity_min,0.0
nucleus_solidity_max,0.0
nc_ratio_min,0.0
nc_ratio_median,0.0
nucleus_perimeter_min,0.0
circularity_min,0.0
solidity_max,0.0
circularity_max,0.0
minor_axis_min,0.0
aspect_ratio_min,0.0
eccentricity_min,0.0
eccentricity_max,0.0
